,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Date
361,zhezkazgan,47.8043,67.7144,76.93,44,0,2.3,1626745707
362,lipin bor,60.2622,37.9763,58.8,64,96,1.86,1626745855
363,dudinka,69.4058,86.1778,53.78,56,100,8.08,1626745855
364,garowe,8.4054,48.4845,74.86,65,79,23.98,1626745855
365,kibaya,-5.3,36.5667,51.53,77,13,4.79,1626745856
366,shirvan,39.9509,48.8994,78.76,83,0,3.85,1626745856
367,evensk,61.95,159.2333,65.73,55,86,9.13,1626745856
368,deloraine,-41.5333,146.6667,48.99,95,100,6.91,1626745857
369,lincoln,40.8,-96.667,81.84,63,1,8.05,1626745532
370,najran,17.4924,44.1277,81.25,54,100,14.52,1626745857
371,castelfiorentino,43.61,10.9692,74.21,76,7,2.1,1626745857
372,gazimurskiy zavod,51.5461,118.3266,77.34,62,23,6.4,1626745858
373,maxixe,-23.8597,35.3472,63.19,93,16,5.77,1626745858
374,oum hadjer,13.2954,19.6966,76.55,79,100,14.12,1626745858
375,teutonia,-29.4481,-51.8064,45.79,93,0,5.01,1626745858
376,nokaneng,-19.6667,22.2667,45.79,46,0,5.44,1626745859
377,beloha,-25.1667,45.05,67.98,68,100,9.44,1626745684
378,caluquembe,-13.7833,14.6833,53.98,73,2,3.31,1626745859
379,okulovka,58.4008,33.2908,56.68,68,71,4.21,1626745859
380,buzmeyin,38.0507,58.2056,76.73,22,0,4.61,1626745704
381,kavaratti,10.5669,72.642,82.4,76,67,15.9,1626745643
382,mackenzie,55.2999,-123.1698,73.62,38,1,2.06,1626745505
383,shenzhen,22.5455,114.0683,80.83,97,100,12.48,1626745860
384,baykit,61.67,96.37,57.94,91,99,5.64,1626745860
385,hambantota,6.1241,81.1185,77.34,100,20,4.61,1626745669
386,wajir,1.7471,40.0573,72.52,72,89,13.38,1626745861
387,asau,46.4333,26.4,66.4,98,94,1.92,1626745861
388,muyezerskiy,63.9333,31.65,52.95,71,100,9.19,1626745861
389,bomi,7.2461,-11.5258,73.4,98,100,2.84,1626745862
390,igarka,67.4667,86.5833,55.36,54,0,8.14,1626745862
391,skibbereen,51.55,-9.2667,62.4,89,0,4.65,1626745862
392,tsabong,-26.0217,22.401,46.8,32,0,11.07,1626745863
393,meadow lake,34.8014,-106.5436,89.08,28,58,10.25,1626745863
